xy_p xy_n yz_p yz_n zx_p zx_n
5 758 194 520 571 0 
9 674 222 544 586 13 
0 692 304 420 371 261 
0 783 0 591 514 160 
2 652 171 556 525 142 
0 651 316 441 360 280 
0 616 230 534 402 266 
0 565 312 469 425 277 
5 650 315 436 328 314 
6 557 316 475 378 316 
8 559 329 454 416 282 
5 709 341 389 253 351 
8 492 387 472 358 331 
8 430 357 488 467 298 
5 769 449 155 324 346 
9 509 386 356 469 319 
7 497 355 429 480 280 
6 632 354 366 425 265 
8 468 383 395 509 285 
8 540 340 421 473 266 
853 134 286 350 180 245 
147 830 358 162 354 197 
232 725 292 266 532 1 
401 507 160 385 595 0 
927 0 150 383 383 205 
0 969 7 527 539 6 
326 528 0 583 611 0 
897 0 150 438 410 153 
211 753 0 554 280 250 
371 521 0 615 388 153 
913 0 173 416 397 149 
544 436 0 480 0 588 
723 241 0 552 252 280 
916 0 243 366 356 167 
733 210 403 232 0 470 
802 147 291 342 149 317 
960 0 266 286 287 249 
992 0 539 0 0 517 
912 10 409 160 153 404 
998 0 280 251 260 259 
796 179 449 0 192 432 
797 127 319 141 305 359 
999 0 254 274 267 254 
570 426 584 0 468 0 
816 219 278 224 511 0 
925 0 204 330 333 256 
410 367 349 249 248 425 
49 698 383 362 255 301 
53 627 370 347 375 276 
151 799 316 288 376 118 
165 684 297 371 350 181 
154 600 388 289 259 358 
163 845 174 455 398 13 
150 683 163 527 353 172 
198 544 388 265 221 432 
271 724 44 350 341 318 
170 661 158 399 477 183 
279 481 340 245 235 468 
298 510 296 268 221 455 
360 501 313 257 256 361 
335 454 420 232 114 493 
438 359 358 230 201 462 
410 406 348 229 235 420 
339 515 459 157 0 578 
470 171 441 225 199 542 
505 171 457 161 302 452 
311 492 585 0 231 429 
455 224 502 210 238 419 
484 218 443 282 192 429 
318 441 550 161 229 349 
404 398 458 195 238 355 
399 426 428 229 236 330 
607 136 499 146 163 497 
2 635 460 307 257 387 
79 632 423 295 399 220 
105 760 334 333 510 6 
183 553 231 447 521 113 
0 694 376 349 306 323 
2 883 0 585 578 0 
89 720 0 648 591 0 
70 635 268 389 266 420 
98 757 0 539 376 278 
176 623 38 612 523 76 
92 588 191 436 269 472 
121 673 187 506 164 397 
235 346 348 444 289 386 
567 399 228 224 0 630 
684 155 540 165 0 504 
615 120 478 224 153 458 
584 379 447 8 0 630 
770 7 612 23 0 636 
658 0 544 148 163 535 
609 376 603 0 189 271 
689 108 556 0 139 556 
640 70 495 155 216 472 
166 540 705 102 272 263 
568 389 478 0 232 381 
510 233 401 187 279 438 
215 473 357 320 324 359 
125 652 502 103 257 409 
116 672 401 217 540 102 
128 555 384 408 441 132 
135 381 363 402 404 363 
85 643 280 380 403 257 
154 740 117 476 514 47 
142 419 343 400 405 339 
97 589 269 345 451 297 
151 738 66 506 527 60 
171 399 345 412 401 320 
118 700 102 402 417 309 
165 607 10 505 422 339 
160 365 361 404 396 362 
278 580 363 374 195 258 
229 474 356 313 301 375 
118 445 366 379 383 357 
291 462 402 254 191 448 
310 434 365 278 284 377 
89 424 379 400 360 396 
328 353 471 220 231 445 
309 434 395 252 270 388 
86 433 386 370 389 384 
258 527 429 176 342 316 
255 470 364 273 365 321 
100 452 359 395 385 357 
221 166 539 259 367 496 
0 727 570 167 0 584 
89 657 422 198 301 381 
171 685 486 73 291 342 
211 551 393 297 340 256 
206 667 345 227 296 307 
337 864 256 243 305 43 
335 832 164 380 308 29 
295 619 326 217 287 304 
432 850 51 315 335 65 
336 848 31 400 397 36 
194 629 309 297 272 347 
279 789 132 304 166 378 
216 682 135 339 332 344 
432 503 372 219 66 456 
530 377 457 191 0 493 
507 306 379 259 176 421 
360 530 468 160 0 530 
583 241 520 123 0 581 
569 133 453 220 194 479 
508 528 498 0 0 514 
685 114 617 0 0 632 
608 30 494 208 186 522 
430 519 479 0 205 415 
555 290 530 0 189 484 
531 218 445 183 232 439 
571 81 487 207 198 504 
0 677 447 233 269 422 
95 754 394 233 331 241 
127 828 281 340 472 0 
321 617 195 415 476 24 
0 781 308 336 341 282 
36 940 47 471 522 32 
222 790 1 502 533 0 
48 744 265 334 322 335 
89 903 21 500 441 94 
257 750 0 517 524 0 
121 696 266 325 173 467 
144 721 67 443 254 419 
327 487 162 414 363 295 
403 381 409 153 0 702 
673 222 461 135 0 557 
713 109 419 187 101 519 
747 252 491 24 4 530 
824 62 559 0 5 598 
757 63 489 120 98 521 
684 271 594 0 94 405 
731 144 566 0 107 500 
781 9 520 109 114 515 
416 409 697 0 159 367 
645 199 641 0 144 419 
707 151 476 129 215 370 
620 83 569 100 92 584 
304 501 474 177 176 416 
452 672 332 247 270 75 
482 570 382 281 324 9 
356 234 563 163 165 567 
539 749 118 290 282 70 
520 763 51 346 349 19 
354 240 566 157 162 569 
477 691 44 260 238 338 
517 604 1 326 286 314 
351 250 541 165 178 563 
455 573 163 271 226 360 
348 422 369 230 125 554 
358 181 610 166 152 581 
645 105 585 74 0 639 
647 72 550 94 88 597 
359 173 594 158 167 597 
716 1 668 0 0 663 
651 11 608 82 87 609 
341 172 612 160 157 606 
645 103 624 0 79 597 
635 81 589 91 94 558 
350 182 599 171 157 589 
606 314 408 106 197 417 
357 269 625 130 159 508 
353 179 626 176 161 553 
185 447 373 324 371 348 
79 669 401 79 414 406 
69 754 356 257 462 150 
81 762 359 143 467 236 
123 556 282 331 499 257 
110 615 338 348 429 208 
127 855 131 448 472 15 
125 742 36 507 542 96 
117 639 250 374 356 312 
122 822 21 532 508 43 
134 767 45 565 533 4 
77 743 161 444 269 354 
99 832 133 445 223 316 
121 565 206 542 375 239 
224 741 172 368 177 366 
234 623 287 348 204 352 
224 504 340 320 320 340 
276 491 267 315 178 521 
280 513 348 323 209 375 
293 344 369 326 320 396 
278 465 500 202 237 366 
287 480 418 226 260 377 
292 339 391 321 317 388 
232 695 447 180 320 174 
261 535 363 213 352 324 
262 425 369 311 337 344 
611 138 575 70 74 580 
453 137 802 72 76 508 
632 159 1000 78 76 103 
699 157 703 74 80 335 
533 67 667 74 78 629 
702 183 641 56 66 400 
1002 153 415 75 137 266 
828 144 459 76 71 470 
656 124 563 57 59 589 
1024 147 356 78 74 369 
889 147 435 75 75 427 
737 161 322 72 52 704 
998 137 216 120 76 501 
796 139 475 73 73 492 
493 220 18 96 89 1132 
623 144 504 74 74 629 
410 67 740 76 78 677 
781 79 588 67 0 533 
691 49 595 59 39 615 
652 102 592 62 52 588 
722 31 657 0 0 638 
705 0 634 55 50 604 
669 92 586 55 61 585 
818 93 612 0 74 451 
678 59 612 37 63 599 
657 106 597 53 65 570 
457 342 365 207 178 499 
74 359 759 158 143 555 
202 415 794 186 207 244 
405 314 594 191 184 360 
487 363 450 209 188 351 
468 384 608 158 166 264 
616 349 500 161 216 206 
539 340 449 191 169 360 
466 402 404 161 167 448 
671 429 260 233 200 255 
634 379 328 199 174 334 
470 389 282 170 126 611 
628 339 198 213 149 521 
573 324 359 187 168 437 
207 413 254 235 153 786 
404 309 362 198 159 616 
513 352 354 196 182 451 
622 137 418 105 0 766 
665 85 529 104 38 627 
739 175 445 128 118 443 
635 140 639 0 0 634 
717 0 598 71 76 586 
738 167 459 123 104 457 
615 149 781 0 97 406 
655 89 640 39 97 528 
727 169 444 129 130 449 
264 274 410 352 318 430 
78 657 580 67 113 553 
90 702 608 55 275 318 
111 584 478 116 454 305 
219 348 423 236 429 393 
49 811 415 184 346 243 
63 863 290 336 496 0 
153 613 240 431 530 81 
42 797 331 264 268 346 
67 890 14 570 467 40 
129 827 1 569 513 9 
49 807 241 363 149 439 
66 753 34 486 349 360 
183 540 157 490 366 312 
274 574 330 189 51 630 
367 402 409 265 75 530 
375 273 439 366 153 442 
233 394 452 144 8 817 
564 122 580 152 5 625 
526 160 549 155 99 559 
306 224 752 24 47 695 
656 17 679 6 10 680 
539 39 587 141 141 601 
287 408 783 44 148 378 
541 184 602 16 176 529 
525 170 565 89 161 538 
134 281 432 482 275 444 
8 976 266 237 433 128 
7 910 229 329 573 0 
24 905 164 374 581 0 
144 341 399 372 376 416 
0 985 2 509 552 0 
27 1061 15 444 501 0 
138 347 417 355 363 428 
10 912 0 593 310 223 
24 963 0 622 283 156 
133 339 423 366 363 424 
12 967 24 483 256 306 
58 761 204 524 207 294 
146 343 418 351 368 422 
149 297 491 433 192 486 
152 302 434 479 265 416 
151 332 423 367 354 421 
181 120 632 255 249 611 
177 165 538 314 323 531 
143 330 418 356 371 430 
137 260 517 205 412 517 
140 263 474 272 464 435 
142 325 434 372 363 412 
95 620 375 259 521 178 
127 485 336 266 530 304 
137 335 434 347 381 414 
0 579 441 289 286 453 
0 663 596 85 93 611 
0 644 482 222 254 446 
0 578 463 285 330 392 
0 564 463 271 313 437 
0 689 406 271 262 420 
0 669 440 457 482 0 
0 429 477 345 341 456 
0 679 421 248 278 422 
0 724 0 503 502 319 
0 373 457 360 366 492 
0 646 434 263 226 479 
0 573 390 353 282 450 
0 565 431 314 275 463 
0 596 493 300 138 521 
0 564 438 307 236 503 
0 609 427 285 247 480 
0 632 561 257 0 598 
0 577 458 279 232 502 
0 551 475 287 257 478 
0 660 589 0 221 578 
0 579 504 239 264 462 
0 531 486 263 288 480 
0 601 530 124 295 498 
0 573 492 242 296 445 
0 607 463 257 291 430 
523 452 203 246 253 371 
325 397 530 171 183 442 
391 429 491 182 216 339 
548 428 457 209 244 162 
675 355 367 211 231 209 
367 439 469 215 168 390 
564 454 332 246 288 164 
673 473 168 291 258 185 
346 465 369 209 202 457 
544 488 166 273 231 346 
767 339 204 186 302 250 
429 376 389 176 129 549 
575 357 216 212 177 511 
629 410 215 219 211 364 
373 422 380 213 96 564 
628 312 281 209 174 444 
633 373 233 218 207 384 
446 418 466 152 0 566 
692 155 351 219 175 456 
685 220 362 158 262 361 
429 410 612 0 185 412 
669 181 477 167 232 322 
672 274 332 248 194 328 
359 413 539 159 224 354 
605 371 432 180 203 257 
526 467 369 247 255 184 
0 648 331 346 415 308 
0 938 393 269 60 388 
0 922 350 131 354 291 
0 819 388 261 401 179 
0 622 383 363 368 312 
0 898 304 287 259 300 
0 962 0 597 489 0 
0 691 242 437 421 257 
0 954 290 330 155 319 
0 877 61 450 289 371 
0 659 257 392 409 331 
0 832 314 277 178 447 
0 804 323 305 166 450 
0 749 277 343 347 332 
0 795 336 369 101 447 
0 659 335 391 224 439 
0 653 282 380 374 359 
0 911 551 46 0 540 
0 572 460 279 267 470 
0 475 385 382 432 374 
0 858 439 63 349 339 
0 654 429 239 378 348 
0 625 359 395 381 288 
0 818 383 221 350 276 
0 777 373 271 367 260 
0 705 338 363 364 278 
0 500 367 418 404 359 
0 826 379 234 213 396 
0 811 363 163 367 344 
0 807 258 332 394 257 
0 660 342 365 383 298 
0 746 323 369 277 333 
0 846 180 413 351 258 
0 643 200 427 491 287 
0 748 320 329 319 332 
0 824 253 405 348 218 
0 695 271 407 353 322 
0 733 344 323 257 391 
0 718 344 389 252 345 
0 525 353 437 346 387 
0 768 342 383 194 361 
0 685 333 360 298 372 
0 669 320 379 353 327 
0 771 405 121 356 395 
0 747 362 280 273 386 
0 624 320 433 341 330 
0 755 366 270 309 348 
0 684 361 311 373 319 
0 658 318 372 369 331 
0 734 341 301 351 321 
0 678 363 254 394 359 
0 586 342 375 398 347 
4 530 336 410 464 304 
0 686 337 384 321 320 
0 654 329 303 470 292 
1 545 235 475 619 173 
0 392 298 489 581 288 
0 554 263 540 425 266 
0 508 105 737 554 144 
10 592 72 638 581 155 
0 554 262 409 550 273 
0 514 183 518 746 87 
38 568 208 521 587 126 
1 722 344 398 223 360 
1 597 131 607 480 232 
5 375 273 587 511 297 
4 662 242 447 432 261 
8 462 259 571 520 228 
9 418 285 549 513 274 
36 591 323 362 412 324 
6 521 249 451 598 223 
9 473 239 457 638 232 
32 621 345 336 369 345 
6 521 240 565 458 258 
8 457 270 610 436 267 
3 692 283 321 479 270 
4 471 271 478 526 298 
5 410 274 523 552 284 
1001 288 174 223 214 148 
0 586 680 0 116 666 
348 541 554 133 312 160 
418 523 498 241 368 0 
1096 190 207 210 310 35 
264 614 408 230 395 137 
282 673 290 392 411 0 
661 507 61 415 404 0 
0 700 292 370 364 322 
0 927 0 561 560 0 
452 707 0 435 454 0 
270 605 143 382 229 419 
282 671 0 413 378 304 
667 497 0 408 407 69 
467 413 189 209 104 666 
569 404 0 269 144 662 
1163 163 55 254 208 205 
631 260 372 110 0 675 
936 86 356 130 0 540 
1170 6 320 147 116 289 
671 276 580 0 0 521 
1164 0 435 0 0 449 
1140 0 323 121 115 349 
601 273 675 0 132 367 
907 115 560 0 137 329 
1174 7 259 132 163 313 
330 374 479 196 200 469 
466 356 455 152 142 477 
725 217 475 78 109 444 
801 214 470 91 106 366 
807 164 467 111 123 376 
703 255 448 97 107 438 
866 218 415 103 111 335 
898 214 377 116 165 278 
780 204 454 59 100 451 
882 224 347 108 107 380 
973 199 323 109 125 319 
726 227 451 103 56 485 
835 222 321 112 100 458 
841 214 306 118 110 459 
692 246 487 112 30 481 
815 191 422 110 74 436 
821 134 425 110 107 451 
657 235 520 103 2 531 
879 63 480 104 0 522 
861 93 424 101 105 464 
645 199 609 0 0 595 
876 66 517 0 94 495 
876 62 462 110 76 462 
721 208 497 52 102 468 
849 131 460 51 105 452 
833 154 451 108 105 397 
0 573 403 349 367 356 
0 981 428 65 77 497 
0 885 369 119 336 339 
0 764 398 274 394 218 
0 617 401 286 338 406 
0 898 300 275 250 325 
0 1092 0 493 463 0 
0 683 298 376 373 318 
0 864 340 293 169 382 
0 800 152 396 294 406 
0 596 405 340 310 397 
0 848 344 319 146 391 
0 723 412 358 92 463 
0 585 425 369 224 445 
0 871 383 293 68 433 
0 666 401 340 190 451 
0 523 407 367 338 413 
0 966 477 102 93 410 
0 594 510 263 248 433 
0 491 407 392 383 375 
0 855 451 49 297 396 
0 641 432 228 367 380 
0 530 409 331 369 409 
0 835 394 153 319 347 
0 703 365 279 378 323 
0 653 377 302 347 369 
782 0 339 303 282 342 
108 840 479 70 228 323 
215 664 405 399 333 32 
497 492 83 433 537 6 
601 0 324 365 436 322 
247 719 183 396 363 140 
356 479 52 571 533 57 
523 114 266 475 428 242 
253 641 46 396 349 363 
506 485 49 537 411 60 
605 0 309 481 413 240 
366 609 41 406 0 626 
737 164 0 616 328 203 
616 0 375 405 368 284 
725 236 385 136 0 566 
788 0 325 345 242 348 
775 0 335 306 284 348 
886 13 539 2 5 603 
860 1 342 238 259 348 
868 0 336 257 274 313 
807 172 565 0 82 422 
844 1 361 224 289 329 
839 0 335 268 280 326 
324 627 730 0 336 31 
882 103 147 309 534 73 
694 0 327 315 352 360 
0 523 336 392 338 459 
0 812 549 0 264 423 
0 602 592 164 292 398 
0 466 552 261 344 425 
0 554 385 354 373 382 
0 812 440 336 409 51 
0 686 396 365 404 197 
0 544 387 357 373 387 
0 1051 0 438 559 0 
0 734 183 435 491 205 
0 551 377 362 382 376 
0 707 212 357 306 466 
0 567 272 393 353 463 
0 559 381 366 367 375 
0 625 362 368 234 459 
0 518 330 390 342 468 
0 543 382 366 369 388 
0 591 395 370 157 535 
0 487 354 386 332 489 
0 544 375 379 365 385 
0 455 579 220 211 583 
0 361 487 397 343 460 
0 558 376 362 367 385 
0 597 542 159 379 371 
0 512 500 319 382 335 
0 549 391 364 370 374 
343 253 436 323 203 490 
0 740 391 238 357 322 
0 699 373 353 496 127 
0 673 367 355 505 148 
43 234 411 493 471 396 
0 849 148 468 433 150 
0 853 0 612 583 0 
4 562 286 464 450 282 
0 769 119 488 360 312 
0 740 2 557 451 298 
30 491 301 449 456 321 
23 698 0 649 342 336 
17 577 262 464 306 422 
147 146 522 309 347 577 
441 324 270 330 40 643 
320 256 448 305 186 533 
407 97 493 250 262 539 
490 241 451 159 100 607 
376 147 543 220 236 526 
415 96 516 271 246 504 
432 323 586 73 294 340 
329 248 510 200 294 467 
408 103 532 241 251 513 
457 442 539 81 401 128 
287 308 534 200 342 377 
351 112 532 297 280 476 
0 652 269 439 411 277 
0 1137 444 0 0 467 
0 878 283 248 382 257 
0 910 275 243 372 248 
0 556 316 394 496 286 
0 943 239 294 342 230 
0 859 250 427 506 6 
0 885 185 441 537 0 
0 993 218 307 295 235 
0 958 0 560 530 0 
0 915 0 588 545 0 
0 914 221 368 275 270 
0 839 69 478 375 287 
0 869 59 485 356 279 
0 851 257 385 235 320 
0 879 232 382 260 295 
0 778 220 441 342 267 
0 748 279 408 256 357 
0 840 262 357 288 301 
0 830 229 395 313 281 
0 696 308 359 347 338 
0 848 284 287 325 304 
0 841 265 353 311 278 
0 788 329 260 384 287 
0 838 295 296 352 267 
0 837 269 320 389 233 
924 87 321 237 191 288 
519 96 632 113 136 552 
569 112 699 110 182 376 
874 97 619 121 234 103 
1179 85 353 124 193 114 
544 123 599 159 205 418 
891 141 330 187 285 214 
1294 83 200 166 192 113 
578 116 378 205 140 631 
896 120 197 244 169 422 
1246 99 102 218 152 231 
602 87 419 187 95 658 
831 79 216 225 89 608 
1079 64 267 169 111 358 
633 75 411 107 37 785 
1009 44 279 116 20 580 
1058 54 378 151 102 305 
729 64 502 37 0 716 
1016 0 529 0 0 503 
1070 18 399 86 77 398 
640 67 819 0 68 454 
1059 0 436 0 85 468 
1055 30 403 71 101 388 
635 96 784 76 180 277 
962 95 526 57 199 209 
937 113 284 167 249 298 
483 469 244 293 301 258 
282 475 469 208 117 497 
636 406 414 82 135 375 
701 334 391 123 213 286 
730 259 376 192 198 293 
634 405 400 117 115 377 
804 305 339 138 128 334 
781 273 285 203 221 285 
630 431 347 118 111 411 
690 337 285 235 119 382 
764 293 286 197 135 373 
297 491 319 260 194 487 
445 505 284 241 119 454 
504 454 267 232 248 343 
613 334 421 141 32 507 
783 194 407 149 34 481 
762 202 345 135 206 398 
727 310 499 13 10 489 
906 4 562 0 3 573 
853 86 398 152 148 411 
606 351 514 55 131 391 
788 168 497 15 149 431 
802 208 406 132 151 349 
125 573 535 211 305 299 
271 620 470 148 309 230 
395 524 312 313 278 226 
92 495 280 402 467 312 
88 611 318 338 347 346 
111 561 307 457 422 190 
68 551 275 421 468 265 
80 415 303 465 453 332 
100 578 248 404 455 263 
64 566 233 484 496 205 
96 336 353 453 452 358 
84 622 173 421 474 274 
89 509 156 462 532 300 
69 411 321 464 449 334 
119 484 225 471 284 465 
95 535 311 415 340 352 
69 380 374 422 425 378 
99 438 266 448 453 344 
104 561 264 410 403 306 
90 426 309 459 437 327 
73 527 300 411 413 324 
82 525 273 436 444 288 
77 496 267 467 460 281 
100 486 307 418 448 289 
96 526 285 411 463 267 
87 452 298 442 466 303 
109 525 437 327 542 108 
93 503 337 363 454 298 
75 375 350 441 450 357 
48 312 467 354 242 625 
10 438 801 123 193 483 
48 374 982 110 369 165 
66 224 693 209 318 538 
70 214 585 284 276 619 
26 645 664 272 441 0 
46 329 578 322 455 318 
67 234 582 290 281 594 
16 794 104 500 512 122 
64 396 300 513 492 283 
69 189 604 271 277 638 
46 632 18 432 262 658 
84 332 338 438 319 537 
67 234 576 293 277 601 
52 430 126 418 166 856 
52 307 469 330 239 651 
63 213 613 273 274 612 
104 154 548 327 150 765 
75 240 550 316 238 629 
66 233 577 298 289 585 
94 279 670 153 172 680 
68 195 627 282 271 605 
63 224 595 280 277 609 
105 159 760 173 356 495 
70 247 622 249 321 539 
62 237 576 291 297 585 
194 350 391 370 316 427 
72 655 414 260 297 350 
79 587 412 290 384 296 
136 508 445 321 454 184 
189 436 400 303 320 400 
69 603 394 319 337 326 
131 694 144 537 542 0 
171 458 308 413 395 303 
75 599 317 357 293 407 
145 695 0 535 507 166 
164 452 316 411 408 297 
77 577 286 383 280 445 
124 499 184 463 304 474 
209 387 422 311 273 446 
197 445 348 423 57 578 
201 318 385 412 265 467 
148 364 410 384 333 409 
196 492 271 386 299 404 
182 365 390 348 333 430 
180 327 411 381 323 426 
202 478 415 293 397 263 
163 382 429 337 360 377 
180 326 420 342 373 407 
193 461 560 82 406 346 
202 343 458 263 408 374 
150 346 424 332 384 412 
389 209 523 256 192 479 
0 714 435 257 226 416 
0 766 336 333 343 270 
0 671 427 321 485 144 
55 450 401 376 437 329 
0 849 268 319 402 210 
0 857 34 545 612 0 
0 675 210 459 461 243 
0 843 222 404 309 270 
0 910 0 581 500 57 
0 618 265 478 468 219 
0 817 75 491 421 244 
0 707 179 470 312 380 
34 303 493 402 467 349 
477 435 372 203 0 561 
405 199 434 280 92 638 
420 115 499 281 238 495 
579 359 462 77 3 568 
458 46 633 159 140 612 
578 14 555 192 229 480 
569 277 590 16 148 448 
400 148 571 144 233 552 
537 19 503 203 194 592 
442 447 563 7 201 388 
382 203 573 166 271 453 
387 127 532 247 307 448 
205 343 356 410 468 266 
34 759 340 330 269 316 
32 699 289 333 428 267 
38 740 286 359 438 187 
55 618 292 420 441 222 
30 741 265 386 367 259 
33 758 153 463 466 175 
35 520 119 616 491 267 
48 665 306 388 367 274 
40 740 225 432 426 185 
38 529 278 509 571 123 
23 676 309 449 275 316 
51 680 202 445 370 300 
66 583 271 420 421 287 
195 511 287 402 347 306 
175 515 351 324 319 364 
159 481 333 367 359 349 
190 486 351 279 357 385 
180 467 382 275 360 384 
198 353 433 270 442 352 
177 551 355 331 311 323 
176 495 376 339 312 350 
202 346 369 412 334 385 
182 520 321 303 402 320 
170 497 382 288 370 341 
164 488 360 344 371 321 
0 474 415 360 331 468 
0 625 457 264 293 409 
0 843 134 491 580 0 
0 534 486 377 378 273 
0 351 601 240 258 598 
0 887 8 590 563 0 
0 821 0 652 575 0 
0 500 450 332 329 437 
0 856 0 551 506 135 
0 677 54 478 496 343 
0 491 441 332 342 442 
0 553 368 351 284 492 
0 412 438 347 338 513 
0 477 450 332 335 454 
0 486 444 360 230 528 
0 465 427 355 326 475 
0 496 442 332 332 446 
0 450 510 289 270 529 
0 372 489 342 351 494 
0 485 446 328 333 456 
0 480 535 225 346 462 
0 456 471 319 354 448 
0 495 457 322 340 434 
0 521 489 268 363 407 
0 456 470 324 374 424 
0 501 437 331 334 445 
0 415 437 331 274 591 
0 685 539 113 246 465 
0 522 470 233 331 492 
0 340 581 235 332 560 
0 108 648 262 205 825 
0 890 169 368 503 118 
0 833 225 448 542 0 
0 231 560 263 272 722 
0 970 35 454 473 116 
0 963 0 524 561 0 
4 402 523 247 242 630 
0 824 27 433 334 430 
4 582 71 486 444 461 
0 137 597 247 280 787 
1 520 131 537 244 615 
0 437 406 392 312 501 
0 342 522 280 305 599 
1 337 317 402 188 803 
0 403 382 372 308 583 
0 331 484 293 298 642 
0 183 710 266 280 609 
0 268 462 361 347 610 
0 346 491 294 293 624 
0 551 434 166 482 415 
0 404 453 288 363 540 
0 328 501 293 273 653 
0 262 343 547 552 344 
0 595 289 431 442 291 
0 576 263 421 535 253 
0 671 244 503 592 38 
0 103 374 534 750 287 
0 797 376 256 248 371 
0 878 0 574 596 0 
0 497 81 691 704 75 
0 619 270 540 335 284 
0 776 0 704 472 96 
0 81 219 804 631 313 
0 547 263 509 430 299 
0 538 300 529 345 336 
0 317 359 579 394 399 
0 526 284 611 291 336 
0 504 313 557 315 359 
0 373 301 581 472 321 
0 590 414 316 320 408 
0 356 475 367 344 506 
0 259 351 552 531 355 
0 558 352 255 562 321 
0 459 375 292 568 354 
0 328 342 483 577 318 
0 480 304 443 571 250 
0 567 303 398 500 280 
0 349 347 422 612 318 
80 326 292 543 469 338 
0 1061 443 0 0 544 
3 1017 370 0 350 308 
6 810 324 224 578 106 
27 402 379 398 701 141 
0 1126 225 212 217 268 
0 983 0 423 642 0 
7 616 13 736 630 46 
0 1078 207 318 174 271 
0 943 0 642 300 163 
10 605 58 710 621 44 
13 978 274 353 0 430 
22 579 204 609 0 634 
48 349 168 693 360 430 
64 866 238 336 29 515 
121 534 273 341 217 562 
96 429 235 537 344 407 
52 855 498 29 0 614 
132 499 335 401 197 484 
137 305 346 437 406 417 
51 861 471 0 254 411 
124 515 427 231 372 379 
113 406 345 391 484 309 
59 915 449 29 309 287 
116 524 535 131 402 340 
96 392 357 411 509 283 
0 671 220 463 468 226 
0 895 526 92 76 459 
0 839 206 369 480 154 
0 769 251 406 531 91 
0 525 263 561 541 158 
0 902 157 407 437 145 
0 842 24 572 610 0 
0 758 0 684 606 0 
0 881 132 453 400 182 
0 823 0 594 532 99 
0 712 0 609 701 26 
0 841 153 472 360 222 
0 721 203 486 356 282 
0 572 346 425 357 348 
0 783 172 431 397 265 
0 735 248 427 360 278 
0 703 212 470 422 241 
0 793 155 437 458 205 
0 692 269 420 383 284 
0 631 248 432 481 256 
0 780 226 417 466 159 
0 728 266 370 427 257 
0 650 253 436 461 248 
0 818 260 341 446 183 
0 723 276 355 448 246 
0 679 252 419 475 223 
659 394 219 227 223 326 
469 491 412 96 238 342 
632 339 330 245 269 233 
595 395 372 245 257 184 
532 417 213 291 287 308 
634 473 304 224 254 159 
656 518 211 246 240 177 
507 443 260 263 262 313 
645 458 178 273 231 263 
667 530 174 238 261 178 
492 451 307 254 271 273 
615 339 221 253 244 376 
620 404 159 239 242 384 
548 404 303 274 302 217 
642 359 137 288 248 374 
654 389 214 228 229 334 
541 443 282 295 294 193 
685 275 329 277 0 482 
679 318 276 220 231 324 
510 497 237 299 303 202 
713 281 465 0 235 354 
744 176 312 266 230 320 
507 505 208 295 301 232 
640 341 393 248 271 155 
674 370 342 228 224 210 
529 469 185 293 305 267 
361 419 289 392 256 331 
84 1000 363 36 373 192 
115 848 240 283 562 0 
222 500 184 453 689 0 
318 0 349 478 475 428 
0 1021 0 512 515 0 
146 627 0 641 634 0 
355 0 338 484 488 383 
0 1028 0 644 373 3 
163 617 0 638 621 9 
346 0 353 503 497 349 
258 655 0 652 0 483 
332 320 0 711 367 318 
315 0 399 483 482 369 
398 361 285 256 215 533 
368 399 274 402 276 329 
294 0 438 454 440 422 
276 320 289 256 574 333 
255 712 261 235 326 259 
276 0 439 423 427 483 
241 415 364 507 293 228 
250 672 292 304 311 219 
257 0 414 407 415 555 
486 425 550 20 365 202 
419 250 339 273 456 311 
328 0 354 412 418 536 
833 237 367 172 213 226 
15 468 643 234 79 609 
461 349 592 82 187 377 
663 443 482 71 207 182 
881 341 335 186 188 117 
358 416 446 233 170 425 
584 503 299 214 184 264 
869 330 180 255 213 201 
328 435 406 197 226 456 
566 481 220 207 220 354 
835 389 182 238 242 162 
480 344 377 183 103 561 
662 442 177 192 82 493 
898 326 120 178 181 345 
411 354 402 178 0 703 
759 293 182 184 4 626 
935 203 336 153 147 274 
719 248 514 0 0 567 
947 0 565 0 0 536 
971 0 472 112 136 357 
698 233 646 0 31 440 
910 63 530 0 48 497 
988 0 356 159 106 439 
369 371 715 50 185 358 
722 466 644 0 216 0 
942 239 257 147 156 307 
589 181 404 204 189 481 
329 413 435 224 242 405 
397 499 434 283 269 166 
382 317 512 293 276 268 
140 441 468 274 263 462 
583 477 237 285 274 192 
522 477 317 326 244 162 
147 456 462 262 273 448 
690 401 223 234 266 234 
544 445 165 262 296 336 
153 449 455 262 263 466 
495 441 205 240 227 440 
452 270 316 233 227 550 
198 412 465 245 263 465 
640 242 365 230 76 495 
590 186 418 199 169 486 
162 422 481 255 268 460 
696 48 602 58 0 644 
614 158 453 142 167 514 
156 442 464 256 260 470 
607 170 580 0 186 505 
603 163 516 166 159 441 
155 444 464 261 260 464 
632 255 493 89 222 357 
586 200 483 172 201 406 
154 441 470 276 263 444 
0 474 397 389 313 475 
0 469 683 170 216 510 
0 544 608 360 257 279 
0 406 538 373 348 383 
0 318 620 266 255 589 
0 835 321 375 517 0 
0 761 300 484 503 0 
0 419 442 379 369 439 
0 1065 10 384 587 2 
0 908 0 563 577 0 
0 334 579 272 275 588 
0 746 77 407 375 443 
